id,stops,Laty,Lngy
1,Nanakhedi,24.57017620000005,77.27052500000008
2,Mandi Gate,24.6626586000,77.3272501
3,Hanuman Chouraha,24.66265860000004,77.32725010000007
4,Jai Stambh Chouraha,24.64799390000007,77.31799080000008
5,Bus Stand Jajji,24.64480690000005,77.30981700000007
6,Modal Town Chouraha,24.64276630000006,77.30622730000005
7,Maruti Showroom,24.63873140000004,77.29901510000008
8,Chinta haran Mandir,24.63352880000008,77.29163100000005
9,Tekari,24.64929260000002,77.31525590000007
10,Friends Colony,24.66409160000006,77.28932830000008
11,Vivek Colony,24.64751340000004,77.34177640000007
12,Cantt Chouraha,24.64786550000002,77.34721700000006
13,Railway Station,24.62216750000005,77.30469470000008
14,Krishna Nagar,24.64123040000004,77.30915990000005
15,Haddi Mill,24.64735500000006,77.33330160000008
16,Bees Bhuji Mata Mandir,24.63426800000008,77.30746270000003
17,Bajarnagarh,24.66828080000005,77.33107280000007
18,Singwasa,24.58000640000006,77.28186740000007